,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
11813,2019-10-01 05:56:47 UTC,cart,5882753,1.48758E+18,,runail,3.17,535743659,c72ab02e-87e2-453e-bed3-3a4a21894f78
11814,2019-10-01 05:56:48 UTC,view,5834446,1.92405E+18,,oniq,11.11,555502770,5774dd75-1ec1-44a7-9b38-ae03332e61da
11815,2019-10-01 05:56:48 UTC,view,5873086,1.48758E+18,,yoko,14.44,542364974,aff774fe-7353-472e-8c0e-0c3b4de1680b
11816,2019-10-01 05:56:48 UTC,view,5813826,1.48758E+18,,,3.79,498249982,fdc257f2-b7ca-4ab2-bffd-272767f4cdba
11817,2019-10-01 05:56:50 UTC,view,7561,1.48758E+18,,,2.38,526678639,7c27b0a2-950f-4b8b-a51e-138ba4cac17e
11818,2019-10-01 05:56:50 UTC,view,5799080,1.48758E+18,,,5.27,525434672,b267366d-d6e3-4f00-9a81-a19e12332364
11819,2019-10-01 05:56:50 UTC,view,5854569,1.48758E+18,,jessnail,0.94,466012293,4916e61c-6b57-46a5-b743-6c7203b29644
11820,2019-10-01 05:56:50 UTC,cart,5846345,1.48758E+18,,,4.14,555501533,299548bb-1221-4a76-8489-e70c0dfcc51a
11821,2019-10-01 05:56:51 UTC,view,10077,1.48758E+18,,,3.98,487184173,918feae3-e7be-4e8a-9066-287200fbbc80
11822,2019-10-01 05:56:52 UTC,view,5820764,1.48758E+18,,,11.11,231105826,a64bb2cf-b346-07e3-32f4-cc5f4d4775b1
11823,2019-10-01 05:56:52 UTC,cart,5884349,1.48758E+18,,oniq,10.32,443623425,0bc61b76-0250-4bcf-a018-0fc347b9dfe7
11824,2019-10-01 05:56:52 UTC,view,5882756,1.48758E+18,,runail,3.17,535743659,c72ab02e-87e2-453e-bed3-3a4a21894f78
11825,2019-10-01 05:56:52 UTC,view,5839703,1.48758E+18,,masura,1.73,555501532,516e1d20-55ce-4040-ac83-860a9828ba90
11826,2019-10-01 05:56:55 UTC,view,5585658,1.48758E+18,,,0.71,539674253,ff5a860b-e0a1-45e8-8565-05d157581541
11827,2019-10-01 05:56:56 UTC,view,5886195,1.48758E+18,,consly,5.87,550405708,47579f67-4dd2-4804-846b-b3b84c721af4
11828,2019-10-01 05:56:57 UTC,cart,5723504,1.48758E+18,,runail,2.62,555192279,991aef37-d968-40c0-a790-5f8d146b9897
11829,2019-10-01 05:56:57 UTC,cart,5820764,1.48758E+18,,,11.11,501183760,844d8b4f-a5b6-40d2-99c4-49374704a842
11830,2019-10-01 05:56:57 UTC,view,38483,1.48758E+18,,runail,64.29,524790722,1ed1d50f-59a3-41fc-8df2-24b6d195aebe
11831,2019-10-01 05:56:58 UTC,view,5799891,1.48758E+18,,,19.03,552425543,bef30eb3-1900-4858-9411-e20441322cd3
11832,2019-10-01 05:56:58 UTC,remove_from_cart,5858219,1.48758E+18,,,5.56,256301592,d1168ccd-2aaa-f5ee-fad5-6327a76f39f1
11833,2019-10-01 05:56:58 UTC,cart,5854569,1.48758E+18,,jessnail,0.94,466012293,4916e61c-6b57-46a5-b743-6c7203b29644
11834,2019-10-01 05:56:59 UTC,view,5873078,1.48758E+18,,yoko,13.33,542364974,aff774fe-7353-472e-8c0e-0c3b4de1680b
11835,2019-10-01 05:57:00 UTC,view,4923,1.48758E+18,accessories.bag,,48.33,543730311,345ab867-d070-4cda-8165-31e7d7faae18
11836,2019-10-01 05:57:00 UTC,view,5684591,1.48758E+18,,,2.62,545449179,22f3d249-f0c7-4aac-ae0b-dcefbd097081
11837,2019-10-01 05:57:02 UTC,cart,5815664,1.48758E+18,,,0.92,555256872,ed2a2db2-a04a-4aeb-b205-804b9e1000ab
11838,2019-10-01 05:57:02 UTC,view,5723504,1.48758E+18,,runail,2.62,555192279,991aef37-d968-40c0-a790-5f8d146b9897
11839,2019-10-01 05:57:03 UTC,view,5811708,1.48758E+18,,irisk,2.48,551915649,0b9f2e37-4283-46b2-833c-7fd4817af689
11840,2019-10-01 05:57:03 UTC,view,5751383,1.48758E+18,,uno,10.32,443447857,455424c1-3720-40f4-95af-cc051930ba1e
11841,2019-10-01 05:57:04 UTC,view,5802538,1.52673E+18,,,7.14,543389709,f2102711-7eba-4201-aeef-545c45d313ea
11842,2019-10-01 05:57:04 UTC,view,5884354,1.48758E+18,,oniq,10.32,443623425,0bc61b76-0250-4bcf-a018-0fc347b9dfe7
11843,2019-10-01 05:57:04 UTC,view,5840278,1.48758E+18,,estel,5.32,541350268,8b7bfe52-6834-d2cd-ddc9-77405eb81837
11844,2019-10-01 05:57:05 UTC,cart,5820762,1.48758E+18,,,3.97,501183760,844d8b4f-a5b6-40d2-99c4-49374704a842
11845,2019-10-01 05:57:07 UTC,cart,5686289,1.48758E+18,,,8.41,555503843,5189d028-03c9-4c54-baff-192bb47b3b28
11846,2019-10-01 05:57:08 UTC,view,5810669,1.48758E+18,,italwax,7.14,533436986,68b58d11-ce3c-4f3d-9de7-bff73104c44f
11847,2019-10-01 05:57:09 UTC,remove_from_cart,5842115,1.48758E+18,,,0.63,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
